uid,score
1,1.6798754224599701
2,1.3957975614121017
9,1.1991054545946032
12,1.7049832997579628
14,1.0760343168041422
20,1.55874662552766
25,1.5705740737442806
28,1.6153813342435117
30,1.649583276879861
33,1.6044929007484003
35,1.391902648461731
37,1.6992855733012098
43,1.5349512450707747
44,1.685391592089553
45,1.752093140320698
46,1.5595862207385776
52,1.176710093886097
53,1.5220473402020953
55,1.0751521171561014
56,1.677078375306292
57,1.6642294765686116
59,1.5383366596940116
60,1.4521810983283143
66,1.4937047199846967
74,1.4199291918958772
75,1.439243132745871
83,1.559609104319179
84,1.4577888497725047
87,1.5867947312511728
88,1.554625009974392
95,1.2237396911436837
100,1.6488852244544325
101,1.2980770981444967
105,0.5873784567703717
111,1.5289888149650344
114,1.5960799389002012
116,1.5045377587711797
118,1.5433614157346718
119,1.6592759914766386
123,1.4060542993199485
129,1.6247211239396364
131,0.9691101340680952
132,1.1237808134046776
137,1.6319713090105128
143,1.264142898436856
147,1.7143166120529716
148,1.281361893634073
149,1.4411996806450937
156,1.4086669881182852
161,1.3811436297422865
162,1.048508678079693
170,1.1570124091645386
179,1.6499356726214307
184,1.5687043681851007
187,1.1667974664767893
191,0.9675699843857425
198,1.4193375383430613
206,1.3500946787954187
212,0.8427800152637563
221,1.217858192254408
222,1.776695954422824
225,1.428972191909097
226,1.5063311866933198
228,1.4726362357237173
232,1.6393271504701024
236,1.5453645913324296
237,1.707663211751448
242,0.9897439397683339
247,1.6705009808730131
252,1.2878169069102663
253,1.5404006686957508
255,1.6114049647698527
258,1.2924971864232286
261,1.1562452042537206
264,1.6981984527808625
268,0.8568999029625459
275,1.723129311416855
292,1.1389950226605796
293,1.6417993324560083
295,1.4657175777111628
305,1.5140175825103657
325,1.5745305555928462
328,1.753364890834634
330,1.5003330614040506
334,1.5514025611459226
335,1.4060877384113202
350,1.56960188611848
351,0.7979617796533358
354,1.4039255196141318
357,1.4639034581428176
360,1.599783283673733
361,1.6251416312209939
365,0.6742991235316427
368,1.1754901102622943
369,1.5579356965147388
370,1.6151798117152798
374,1.4725717117851216
375,1.3243054180191773
377,1.6260821769291032
389,1.5353515979033956
390,1.446222385769377
399,1.4660510703693936
401,1.6540071240552228
402,1.1225568093629414
403,1.7135517283284214
404,1.004671056655192
405,1.4659074043786777
415,1.497874089912724
416,1.217038457482099
417,1.287803817684966
425,1.655724222263789
430,1.7856669416626036
436,1.5348354491018137
442,1.6236001758975673
445,1.707517589263111
446,1.397680282049121
447,1.7440524964559816
451,1.3636252186121118
459,1.5240070089610578
461,1.704081610667131
462,1.735505079498825
464,1.1574454185726433
465,1.2187608350788874
470,1.354892752684821
471,0.8802800073815156
473,1.4672128616478397
481,1.2118101837222301
482,1.694165753182179
487,1.7900904159021516
489,1.603277648374439
524,1.5927035626286288
528,1.0531099735571054
535,0.9766903061929706
536,1.4545167943701025
545,1.6358708308738517
551,1.3751452617218773
552,1.023645278414798
563,1.4643027233336223
566,1.343346343117568
573,1.531564574465428
576,1.2688808208891618
577,1.3391066206408955
579,1.6808477231526502
583,1.6276929136851326
595,1.383439174306639
596,1.546594996091137
598,1.2659435150973308
600,1.5633981806246742
603,1.4410427746375938
607,1.5016855865321643
